# SignalP-5.0	Organism: Eukarya	Timestamp: 20260617193323
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
ENST00000295461.10	OTHER	0.005521	0.994479	
ENST00000295760.11	SP(Sec/SPI)	0.999239	0.000761	CS pos: 27-28. AAA-AP. Pr: 0.4288
ENST00000295868.6	OTHER	0.000517	0.999483	
ENST00000295934.8	OTHER	0.003092	0.996908	
ENST00000296059.7	OTHER	0.010225	0.989775	
ENST00000296315.8	OTHER	0.000907	0.999093	
ENST00000296615.10	OTHER	0.001223	0.998777	
ENST00000297268.11	SP(Sec/SPI)	0.968202	0.031798	CS pos: 24-25. CQS-LQ. Pr: 0.5238
ENST00000298630.8	OTHER	0.003662	0.996338	
ENST00000298912.9	OTHER	0.000716	0.999284	
ENST00000298966.7	OTHER	0.000436	0.999564	
ENST00000299366.11	SP(Sec/SPI)	0.986128	0.013872	CS pos: 23-24. CWG-QV. Pr: 0.9248
ENST00000299578.10	OTHER	0.000668	0.999332	
ENST00000299736.5	OTHER	0.004182	0.995818	
ENST00000300035.9	OTHER	0.000733	0.999267	
ENST00000300036.6	OTHER	0.000346	0.999654	
ENST00000300283.10	OTHER	0.123908	0.876092	
ENST00000300853.8	OTHER	0.001468	0.998532	
ENST00000301242.9	OTHER	0.000276	0.999724	
ENST00000301318.8	OTHER	0.001311	0.998689	
ENST00000301686.13	OTHER	0.001937	0.998063	
ENST00000302490.12	OTHER	0.000668	0.999332	
ENST00000302987.10	OTHER	0.000617	0.999383	
ENST00000303375.10	SP(Sec/SPI)	0.922522	0.077478	CS pos: 33-34. GAP-GD. Pr: 0.2135
ENST00000303843.7	OTHER	0.028832	0.971168	
ENST00000303887.10	OTHER	0.000413	0.999587	
ENST00000303892.10	OTHER	0.000606	0.999394	
ENST00000304004.7	OTHER	0.000968	0.999032	
ENST00000304581.8	OTHER	0.001049	0.998951	
ENST00000304685.8	OTHER	0.000420	0.999580	
ENST00000305108.10	OTHER	0.000567	0.999433	
ENST00000305392.3	OTHER	0.000549	0.999451	
ENST00000305544.9	SP(Sec/SPI)	0.953478	0.046522	CS pos: 32-33. TLA-QA. Pr: 0.3945
ENST00000306052.12	SP(Sec/SPI)	0.995668	0.004332	CS pos: 32-33. AAA-AA. Pr: 0.4632
ENST00000307046.8	SP(Sec/SPI)	0.602784	0.397216	CS pos: 48-49. ATA-GP. Pr: 0.4308
ENST00000307142.9	OTHER	0.005720	0.994280	
ENST00000307257.10	OTHER	0.000406	0.999594	
ENST00000307331.9	OTHER	0.025974	0.974026	
ENST00000307360.6	SP(Sec/SPI)	0.954788	0.045212	CS pos: 27-28. VGS-GQ. Pr: 0.5344
ENST00000307944.6	OTHER	0.002166	0.997834	
ENST00000308527.6	OTHER	0.000578	0.999422	
ENST00000308659.12	OTHER	0.002880	0.997120	
ENST00000309263.7	SP(Sec/SPI)	0.978303	0.021697	CS pos: 31-32. AGA-VP. Pr: 0.4644
ENST00000310123.8	SP(Sec/SPI)	0.990533	0.009467	CS pos: 19-20. VVA-WR. Pr: 0.9160
ENST00000311086.9	OTHER	0.000399	0.999601	
ENST00000311124.9	OTHER	0.014051	0.985949	
ENST00000311604.8	OTHER	0.000454	0.999546	
ENST00000313056.10	OTHER	0.048076	0.951924	
ENST00000313863.11	OTHER	0.000229	0.999771	
ENST00000315273.4	OTHER	0.000489	0.999511	
ENST00000315782.6	SP(Sec/SPI)	0.995955	0.004045	CS pos: 18-19. AAA-RP. Pr: 0.5408
ENST00000315796.5	OTHER	0.000187	0.999813	
ENST00000315930.11	OTHER	0.000799	0.999201	
ENST00000316068.7	OTHER	0.000597	0.999403	
ENST00000316316.10	OTHER	0.000597	0.999403	
ENST00000316629.8	OTHER	0.000226	0.999774	
ENST00000316715.9	OTHER	0.009954	0.990046	
ENST00000316724.10	OTHER	0.000704	0.999296	
ENST00000317446.7	SP(Sec/SPI)	0.999208	0.000792	CS pos: 22-23. GWA-WV. Pr: 0.9037
ENST00000318023.11	OTHER	0.004566	0.995434	
ENST00000318129.6	OTHER	0.000401	0.999599	
ENST00000318724.8	OTHER	0.002666	0.997334	
ENST00000319190.11	OTHER	0.001121	0.998879	
ENST00000319397.7	OTHER	0.000575	0.999425	
ENST00000320211.10	OTHER	0.003318	0.996682	
ENST00000320246.10	OTHER	0.000611	0.999389	
ENST00000320334.5	SP(Sec/SPI)	0.991875	0.008125	CS pos: 21-22. LQG-QQ. Pr: 0.9414
ENST00000320389.12	OTHER	0.001384	0.998616	
ENST00000320985.14	OTHER	0.001235	0.998765	
ENST00000321117.10	OTHER	0.001334	0.998666	
ENST00000321453.12	OTHER	0.000251	0.999749	
ENST00000321764.4	OTHER	0.001158	0.998842	
ENST00000321949.13	OTHER	0.000449	0.999551	
ENST00000322350.10	SP(Sec/SPI)	0.850197	0.149803	CS pos: 24-25. AVS-LR. Pr: 0.4925
ENST00000322475.13	OTHER	0.004141	0.995859	
ENST00000322507.13	SP(Sec/SPI)	0.998406	0.001594	CS pos: 23-24. IEA-EV. Pr: 0.9637
ENST00000323997.10	OTHER	0.000605	0.999395	
ENST00000324001.8	OTHER	0.000805	0.999195	
ENST00000324453.13	OTHER	0.001345	0.998655	
ENST00000324489.5	OTHER	0.002002	0.997998	
ENST00000325327.4	OTHER	0.000894	0.999106	
ENST00000325805.13	OTHER	0.000781	0.999219	
ENST00000325881.9	OTHER	0.000902	0.999098	
ENST00000326434.9	SP(Sec/SPI)	0.957376	0.042624	CS pos: 29-30. IWL-QP. Pr: 0.7447
ENST00000326587.12	OTHER	0.003647	0.996353	
ENST00000326621.10	SP(Sec/SPI)	0.976007	0.023993	CS pos: 23-24. GLA-VE. Pr: 0.8034
ENST00000326932.8	SP(Sec/SPI)	0.993497	0.006503	CS pos: 21-22. TAP-AP. Pr: 0.3574
ENST00000327238.14	OTHER	0.007697	0.992303	
ENST00000327247.9	SP(Sec/SPI)	0.808913	0.191087	CS pos: 39-40. ASG-AR. Pr: 0.3496
ENST00000327551.6	OTHER	0.001078	0.998922	
ENST00000327858.11	SP(Sec/SPI)	0.999060	0.000940	CS pos: 29-30. VDA-DV. Pr: 0.9508
ENST00000328514.11	OTHER	0.000388	0.999612	
ENST00000329197.9	OTHER	0.048076	0.951924	
ENST00000329235.6	OTHER	0.001480	0.998520	
ENST00000329378.7	OTHER	0.000506	0.999494	
ENST00000329548.5	SP(Sec/SPI)	0.938422	0.061578	CS pos: 18-19. CLG-LE. Pr: 0.5290
ENST00000329597.12	SP(Sec/SPI)	0.986485	0.013515	CS pos: 18-19. GAS-LH. Pr: 0.5828
ENST00000329967.11	OTHER	0.001451	0.998549	
ENST00000330295.10	SP(Sec/SPI)	0.997650	0.002350	CS pos: 30-31. SSA-SE. Pr: 0.9264
ENST00000331314.11	OTHER	0.001918	0.998082	
ENST00000331588.4	OTHER	0.000311	0.999689	
ENST00000331710.10	OTHER	0.015199	0.984801	
ENST00000331968.11	OTHER	0.206795	0.793205	
ENST00000332431.5	OTHER	0.000416	0.999584	
ENST00000332725.7	OTHER	0.007279	0.992721	
ENST00000332966.8	SP(Sec/SPI)	0.979523	0.020477	CS pos: 33-34. AVA-CP. Pr: 0.8496
ENST00000333046.8	OTHER	0.001942	0.998058	
ENST00000333617.8	OTHER	0.354566	0.645434	
ENST00000333957.8	OTHER	0.000713	0.999287	
ENST00000334197.12	OTHER	0.000645	0.999355	
ENST00000334976.11	SP(Sec/SPI)	0.991357	0.008643	CS pos: 25-26. SRA-RG. Pr: 0.4643
ENST00000335327.6	OTHER	0.000911	0.999089	
ENST00000336156.10	OTHER	0.002347	0.997653	
ENST00000336237.10	OTHER	0.024782	0.975218	
ENST00000336332.5	OTHER	0.001487	0.998513	
ENST00000336740.10	OTHER	0.001462	0.998538	
ENST00000337019.7	OTHER	0.000775	0.999225	
ENST00000337057.8	OTHER	0.000834	0.999166	
ENST00000337352.10	OTHER	0.003862	0.996138	
ENST00000337514.11	SP(Sec/SPI)	0.602784	0.397216	CS pos: 48-49. ATA-GP. Pr: 0.4308
ENST00000337566.9	OTHER	0.000975	0.999025	
ENST00000337706.7	OTHER	0.000930	0.999070	
ENST00000338193.11	OTHER	0.000239	0.999761	
ENST00000338327.4	OTHER	0.001116	0.998884	
ENST00000338401.8	OTHER	0.002038	0.997962	
ENST00000338446.8	OTHER	0.442270	0.557730	
ENST00000338458.8	OTHER	0.000866	0.999134	
ENST00000338797.10	OTHER	0.000449	0.999551	
ENST00000339556.8	OTHER	0.000169	0.999831	
ENST00000339738.10	OTHER	0.005954	0.994046	
ENST00000340149.6	OTHER	0.000326	0.999674	
ENST00000340192.11	OTHER	0.001468	0.998532	
ENST00000340370.10	OTHER	0.001406	0.998594	
ENST00000340537.9	OTHER	0.001295	0.998705	
ENST00000340624.9	OTHER	0.000886	0.999114	
ENST00000340630.9	OTHER	0.003662	0.996338	
ENST00000340912.6	OTHER	0.002651	0.997349	
ENST00000342058.9	SP(Sec/SPI)	0.999022	0.000978	CS pos: 25-26. AQA-QC. Pr: 0.5427
ENST00000343070.7	OTHER	0.000359	0.999641	
ENST00000343245.7	OTHER	0.000991	0.999009	
ENST00000343550.9	OTHER	0.002118	0.997882	
ENST00000343575.11	SP(Sec/SPI)	0.998084	0.001916	CS pos: 21-22. SDG-KP. Pr: 0.8525
ENST00000343769.6	OTHER	0.000371	0.999629	
ENST00000344008.5	OTHER	0.001018	0.998982	
ENST00000344209.10	SP(Sec/SPI)	0.851922	0.148078	CS pos: 23-24. CLS-LL. Pr: 0.5559
ENST00000345356.10	SP(Sec/SPI)	0.996263	0.003737	CS pos: 23-24. IEA-EG. Pr: 0.6049
ENST00000345363.8	OTHER	0.038808	0.961192	
ENST00000346134.11	OTHER	0.001152	0.998848	
ENST00000346226.7	OTHER	0.000704	0.999296	
ENST00000346691.9	OTHER	0.003318	0.996682	
ENST00000346834.8	OTHER	0.001655	0.998345	
ENST00000347067.9	OTHER	0.003590	0.996410	
ENST00000347262.8	OTHER	0.000509	0.999491	
ENST00000347708.5	OTHER	0.003431	0.996569	
ENST00000348124.5	OTHER	0.001266	0.998734	
ENST00000348579.6	OTHER	0.001252	0.998748	
ENST00000348750.8	OTHER	0.000704	0.999296	
ENST00000349533.11	SP(Sec/SPI)	0.579042	0.420958	CS pos: 21-22. ITA-FN. Pr: 0.3906
ENST00000349598.6	OTHER	0.001152	0.998848	
ENST00000349748.8	OTHER	0.004566	0.995434	
ENST00000350499.6	OTHER	0.000994	0.999006	
ENST00000350881.6	SP(Sec/SPI)	0.940601	0.059399	CS pos: 26-27. AQA-TP. Pr: 0.4156
ENST00000351578.12	OTHER	0.001379	0.998621	
ENST00000351659.7	OTHER	0.000704	0.999296	
ENST00000351829.9	OTHER	0.005627	0.994373	
ENST00000352591.9	SP(Sec/SPI)	0.973301	0.026699	CS pos: 34-35. TTA-QL. Pr: 0.9220
ENST00000353555.9	SP(Sec/SPI)	0.990098	0.009902	CS pos: 21-22. ASG-AA. Pr: 0.4494
ENST00000353609.8	OTHER	0.006238	0.993762	
ENST00000354412.7	SP(Sec/SPI)	0.995668	0.004332	CS pos: 32-33. AAA-AA. Pr: 0.4632
ENST00000354452.8	OTHER	0.002696	0.997304	
ENST00000354513.9	SP(Sec/SPI)	0.993592	0.006408	CS pos: 20-21. VLA-EE. Pr: 0.9077
ENST00000354744.8	SP(Sec/SPI)	0.996214	0.003786	CS pos: 20-21. LRA-VS. Pr: 0.6304
ENST00000354891.7	SP(Sec/SPI)	0.850197	0.149803	CS pos: 24-25. AVS-LR. Pr: 0.4925
ENST00000355209.9	OTHER	0.000975	0.999025	
ENST00000355673.8	OTHER	0.012391	0.987609	
ENST00000355839.10	OTHER	0.007697	0.992303	
ENST00000355854.8	OTHER	0.000341	0.999659	
ENST00000356080.9	OTHER	0.000222	0.999778	
ENST00000356311.10	OTHER	0.000994	0.999006	
ENST00000356392.9	OTHER	0.001963	0.998037	
ENST00000356654.8	OTHER	0.000830	0.999170	
ENST00000356864.4	SP(Sec/SPI)	0.986910	0.013090	CS pos: 25-26. AYS-AT. Pr: 0.4645
ENST00000356942.9	OTHER	0.002078	0.997922	
ENST00000357060.8	OTHER	0.003768	0.996232	
ENST00000357086.10	OTHER	0.003910	0.996090	
ENST00000357277.8	OTHER	0.028832	0.971168	
ENST00000357328.8	OTHER	0.000386	0.999614	
ENST00000357460.7	OTHER	0.001376	0.998624	
ENST00000357485.8	OTHER	0.000695	0.999305	
ENST00000357552.8	OTHER	0.000362	0.999638	
ENST00000357635.10	OTHER	0.000964	0.999036	
ENST00000357703.6	SP(Sec/SPI)	0.998205	0.001795	CS pos: 18-19. SDA-FS. Pr: 0.8099
ENST00000358066.8	SP(Sec/SPI)	0.996214	0.003786	CS pos: 20-21. LRA-VS. Pr: 0.6304
ENST00000358278.7	OTHER	0.000132	0.999868	
ENST00000358607.11	OTHER	0.002788	0.997212	
ENST00000358954.6	OTHER	0.000759	0.999241	
ENST00000359139.7	OTHER	0.000505	0.999495	
ENST00000359162.6	OTHER	0.002157	0.997843	
ENST00000359370.10	OTHER	0.000930	0.999070	
ENST00000359470.6	OTHER	0.000897	0.999103	
ENST00000359787.5	OTHER	0.010108	0.989892	
ENST00000359979.8	OTHER	0.001225	0.998775	
ENST00000360000.8	OTHER	0.001354	0.998646	
ENST00000360027.5	OTHER	0.001865	0.998135	
ENST00000360162.7	OTHER	0.000222	0.999778	
ENST00000360570.8	OTHER	0.000557	0.999443	
ENST00000360851.4	OTHER	0.003569	0.996431	
ENST00000360905.9	OTHER	0.001018	0.998982	
ENST00000360966.9	OTHER	0.001149	0.998851	
ENST00000360986.9	SP(Sec/SPI)	0.997552	0.002448	CS pos: 18-19. AAA-RP. Pr: 0.5173
ENST00000361042.8	OTHER	0.000911	0.999089	
ENST00000361229.8	OTHER	0.000531	0.999469	
ENST00000361395.6	OTHER	0.002157	0.997843	
ENST00000361507.5	OTHER	0.000612	0.999388	
ENST00000361521.9	OTHER	0.007716	0.992284	
ENST00000361525.7	OTHER	0.002157	0.997843	
ENST00000361600.9	OTHER	0.001307	0.998693	
ENST00000361778.7	OTHER	0.336823	0.663177	
ENST00000361948.8	OTHER	0.000317	0.999683	
ENST00000366254.2	OTHER	0.017265	0.982735	
ENST00000366888.7	OTHER	0.000775	0.999225	
ENST00000366889.6	OTHER	0.000775	0.999225	
ENST00000366937.5	OTHER	0.001846	0.998154	
ENST00000366940.6	OTHER	0.002157	0.997843	
ENST00000367009.2	OTHER	0.002120	0.997880	
ENST00000367010.5	OTHER	0.040262	0.959738	
ENST00000367307.8	OTHER	0.000520	0.999480	
ENST00000367321.8	OTHER	0.000520	0.999480	
ENST00000367429.9	SP(Sec/SPI)	0.999329	0.000671	CS pos: 18-19. CVA-ED. Pr: 0.9464
ENST00000367723.8	OTHER	0.001898	0.998102	
ENST00000367972.8	SP(Sec/SPI)	0.953748	0.046252	CS pos: 35-36. SQA-AP. Pr: 0.6942
ENST00000368005.5	OTHER	0.001117	0.998883	
ENST00000368006.8	OTHER	0.001117	0.998883	
ENST00000368072.10	OTHER	0.000523	0.999477	
ENST00000368134.6	OTHER	0.000501	0.999499	
ENST00000368135.4	OTHER	0.000254	0.999746	
ENST00000368138.7	OTHER	0.000254	0.999746	
ENST00000368140.6	OTHER	0.000254	0.999746	
ENST00000368373.8	SP(Sec/SPI)	0.808913	0.191087	CS pos: 39-40. ASG-AR. Pr: 0.3496
ENST00000368619.3	OTHER	0.006998	0.993002	
ENST00000368620.2	OTHER	0.006998	0.993002	
ENST00000368622.5	OTHER	0.000392	0.999608	
ENST00000368916.1	OTHER	0.001099	0.998901	
ENST00000368918.8	OTHER	0.001099	0.998901	
ENST00000368923.8	OTHER	0.240286	0.759714	
ENST00000368924.9	OTHER	0.240286	0.759714	
ENST00000369031.4	OTHER	0.006352	0.993648	
ENST00000369037.9	OTHER	0.006352	0.993648	
ENST00000369070.5	OTHER	0.003912	0.996088	
ENST00000369076.8	OTHER	0.000991	0.999009	
ENST00000369081.3	OTHER	0.001046	0.998954	
ENST00000369551.5	OTHER	0.000473	0.999527	
ENST00000369719.2	OTHER	0.003768	0.996232	
ENST00000369720.6	OTHER	0.003768	0.996232	
ENST00000369839.4	OTHER	0.003736	0.996264	
ENST00000369931.3	OTHER	0.012076	0.987924	
ENST00000369975.6	OTHER	0.000438	0.999562	
ENST00000369977.8	OTHER	0.000438	0.999562	
ENST00000369985.9	OTHER	0.000438	0.999562	
ENST00000370012.1	OTHER	0.005145	0.994855	
ENST00000370200.6	SP(Sec/SPI)	0.998177	0.001823	CS pos: 30-31. TGA-RP. Pr: 0.8541
ENST00000370473.5	OTHER	0.000388	0.999612	
ENST00000370823.8	OTHER	0.002521	0.997479	
ENST00000370893.1	OTHER	0.000514	0.999486	
ENST00000370895.5	OTHER	0.000514	0.999486	
ENST00000370899.7	OTHER	0.000514	0.999486	
ENST00000371001.6	OTHER	0.000362	0.999638	
ENST00000371059.7	SP(Sec/SPI)	0.579042	0.420958	CS pos: 21-22. ITA-FN. Pr: 0.3906
ENST00000371060.7	SP(Sec/SPI)	0.579042	0.420958	CS pos: 21-22. ITA-FN. Pr: 0.3906
ENST00000371139.9	OTHER	0.001865	0.998135	
ENST00000371222.4	OTHER	0.000965	0.999035	
ENST00000371243.2	SP(Sec/SPI)	0.974409	0.025591	CS pos: 19-20. GHG-GF. Pr: 0.6717
ENST00000371253.7	SP(Sec/SPI)	0.974409	0.025591	CS pos: 19-20. GHG-GF. Pr: 0.6717
ENST00000372070.7	OTHER	0.005627	0.994373	
ENST00000372088.8	OTHER	0.001225	0.998775	
ENST00000372136.7	OTHER	0.000994	0.999006	
ENST00000372666.1	OTHER	0.000416	0.999584	
ENST00000372685.8	OTHER	0.001354	0.998646	
ENST00000372742.1	OTHER	0.002326	0.997674	
ENST00000373006.5	OTHER	0.001096	0.998904	
ENST00000373010.5	OTHER	0.001096	0.998904	
ENST00000373600.7	OTHER	0.002207	0.997793	
ENST00000373824.9	OTHER	0.000819	0.999181	
ENST00000373857.8	OTHER	0.000549	0.999451	
ENST00000373887.8	OTHER	0.005053	0.994947	
ENST00000373921.8	OTHER	0.002703	0.997297	
ENST00000373925.5	OTHER	0.002703	0.997297	
ENST00000373927.7	OTHER	0.002703	0.997297	
ENST00000374218.6	OTHER	0.001502	0.998498	
ENST00000374339.5	OTHER	0.000276	0.999724	
ENST00000374342.6	OTHER	0.008603	0.991397	
ENST00000374346.7	OTHER	0.000276	0.999724	
ENST00000374426.6	SP(Sec/SPI)	0.998084	0.001916	CS pos: 21-22. SDG-KP. Pr: 0.8525
ENST00000374429.6	SP(Sec/SPI)	0.998084	0.001916	CS pos: 21-22. SDG-KP. Pr: 0.8525
ENST00000374648.7	OTHER	0.000386	0.999614	
ENST00000374675.7	SP(Sec/SPI)	0.666195	0.333805	CS pos: 27-28. VAG-LG. Pr: 0.2569
ENST00000374677.8	SP(Sec/SPI)	0.666195	0.333805	CS pos: 27-28. VAG-LG. Pr: 0.2569
ENST00000374876.4	OTHER	0.000740	0.999260	
ENST00000374877.7	OTHER	0.000740	0.999260	
ENST00000374881.3	OTHER	0.049409	0.950591	
ENST00000374882.8	OTHER	0.001333	0.998667	
ENST00000374979.8	OTHER	0.001727	0.998273	
ENST00000375023.3	SP(Sec/SPI)	0.998195	0.001805	CS pos: 23-24. VRP-RG. Pr: 0.6342
ENST00000375055.6	SP(Sec/SPI)	0.994816	0.005184	CS pos: 23-24. VGA-QN. Pr: 0.8421
ENST00000375069.7	SP(Sec/SPI)	0.994816	0.005184	CS pos: 23-24. VGA-QN. Pr: 0.8421
ENST00000375070.7	OTHER	0.002101	0.997899	
