# SignalP-5.0	Organism: Eukarya	Timestamp: 20260624191645
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
ENST00000311124.9	OTHER	0.014051	0.985949	
ENST00000311604.8	OTHER	0.000454	0.999546	
ENST00000311852.11	SP(Sec/SPI)	0.980475	0.019525	CS pos: 28-29. GSA-QS. Pr: 0.3729
ENST00000313056.10	OTHER	0.048076	0.951924	
ENST00000313213.5	OTHER	0.018935	0.981065	
ENST00000313863.11	OTHER	0.000229	0.999771	
ENST00000315273.4	OTHER	0.000489	0.999511	
ENST00000315782.6	SP(Sec/SPI)	0.995955	0.004045	CS pos: 18-19. AAA-RP. Pr: 0.5408
ENST00000315930.11	OTHER	0.000799	0.999201	
ENST00000316334.5	OTHER	0.005253	0.994747	
ENST00000316629.8	OTHER	0.000226	0.999774	
ENST00000317446.7	SP(Sec/SPI)	0.999208	0.000792	CS pos: 22-23. GWA-WV. Pr: 0.9037
ENST00000318129.6	OTHER	0.000401	0.999599	
ENST00000318622.8	OTHER	0.052055	0.947945	
ENST00000319397.7	OTHER	0.000575	0.999425	
ENST00000319715.10	OTHER	0.000758	0.999242	
ENST00000320211.10	OTHER	0.003318	0.996682	
ENST00000320246.10	OTHER	0.000611	0.999389	
ENST00000321117.10	OTHER	0.001334	0.998666	
ENST00000321764.4	OTHER	0.001158	0.998842	
ENST00000321949.13	OTHER	0.000449	0.999551	
ENST00000322165.1	OTHER	0.056399	0.943601	
ENST00000322507.13	SP(Sec/SPI)	0.998406	0.001594	CS pos: 23-24. IEA-EV. Pr: 0.9637
ENST00000322684.7	OTHER	0.003368	0.996632	
ENST00000324001.8	OTHER	0.000805	0.999195	
ENST00000324172.10	OTHER	0.000501	0.999499	
ENST00000325327.4	OTHER	0.000894	0.999106	
ENST00000325805.13	OTHER	0.000781	0.999219	
ENST00000325881.9	OTHER	0.000902	0.999098	
ENST00000326434.9	SP(Sec/SPI)	0.957376	0.042624	CS pos: 29-30. IWL-QP. Pr: 0.7447
ENST00000326587.12	OTHER	0.003647	0.996353	
ENST00000327247.9	SP(Sec/SPI)	0.808913	0.191087	CS pos: 39-40. ASG-AR. Pr: 0.3496
ENST00000327551.6	OTHER	0.001078	0.998922	
ENST00000327858.11	SP(Sec/SPI)	0.999060	0.000940	CS pos: 29-30. VDA-DV. Pr: 0.9508
ENST00000328046.8	OTHER	0.000196	0.999804	
ENST00000328514.11	OTHER	0.000388	0.999612	
ENST00000329197.9	OTHER	0.048076	0.951924	
ENST00000329235.6	OTHER	0.001480	0.998520	
ENST00000329293.4	SP(Sec/SPI)	0.963085	0.036915	CS pos: 25-26. PQC-TQ. Pr: 0.3242
ENST00000329548.5	SP(Sec/SPI)	0.938422	0.061578	CS pos: 18-19. CLG-LE. Pr: 0.5290
ENST00000330295.10	SP(Sec/SPI)	0.997650	0.002350	CS pos: 30-31. SSA-SE. Pr: 0.9264
ENST00000331410.10	OTHER	0.000931	0.999069	
ENST00000331968.11	OTHER	0.206795	0.793205	
ENST00000332966.8	SP(Sec/SPI)	0.979523	0.020477	CS pos: 33-34. AVA-CP. Pr: 0.8496
ENST00000333407.11	OTHER	0.000322	0.999678	
ENST00000333957.8	OTHER	0.000713	0.999287	
ENST00000334493.11	OTHER	0.003367	0.996633	
ENST00000334956.15	OTHER	0.000390	0.999610	
ENST00000334976.11	SP(Sec/SPI)	0.991357	0.008643	CS pos: 25-26. SRA-RG. Pr: 0.4643
ENST00000335327.6	OTHER	0.000911	0.999089	
ENST00000335875.9	OTHER	0.004193	0.995807	
ENST00000336156.10	OTHER	0.002347	0.997653	
ENST00000336332.5	OTHER	0.001487	0.998513	
ENST00000337019.7	OTHER	0.000775	0.999225	
ENST00000337057.8	OTHER	0.000834	0.999166	
ENST00000337352.10	OTHER	0.003862	0.996138	
ENST00000337566.9	OTHER	0.000975	0.999025	
ENST00000337581.7	OTHER	0.008203	0.991797	
ENST00000337706.7	OTHER	0.000930	0.999070	
ENST00000338193.11	OTHER	0.000239	0.999761	
ENST00000338401.8	OTHER	0.002038	0.997962	
ENST00000338446.8	OTHER	0.442270	0.557730	
ENST00000338797.10	OTHER	0.000449	0.999551	
ENST00000338963.6	OTHER	0.000554	0.999446	
ENST00000339556.8	OTHER	0.000169	0.999831	
ENST00000339738.10	OTHER	0.005954	0.994046	
ENST00000340149.6	OTHER	0.000326	0.999674	
ENST00000340192.11	OTHER	0.001468	0.998532	
ENST00000340370.10	OTHER	0.001406	0.998594	
ENST00000340537.9	OTHER	0.001295	0.998705	
ENST00000340624.9	OTHER	0.000886	0.999114	
ENST00000340630.9	OTHER	0.003662	0.996338	
ENST00000340912.6	OTHER	0.002651	0.997349	
ENST00000341420.5	SP(Sec/SPI)	0.889224	0.110776	CS pos: 28-29. VMA-KS. Pr: 0.7441
ENST00000342272.3	OTHER	0.005251	0.994749	
ENST00000343023.10	OTHER	0.000413	0.999587	
ENST00000343245.7	OTHER	0.000991	0.999009	
ENST00000343267.8	SP(Sec/SPI)	0.998910	0.001090	CS pos: 20-21. AEG-QA. Pr: 0.6711
ENST00000343550.9	OTHER	0.002118	0.997882	
ENST00000343575.11	SP(Sec/SPI)	0.998084	0.001916	CS pos: 21-22. SDG-KP. Pr: 0.8525
ENST00000343769.6	OTHER	0.000371	0.999629	
ENST00000343813.10	OTHER	0.102271	0.897729	
ENST00000344008.5	OTHER	0.001018	0.998982	
ENST00000344209.10	SP(Sec/SPI)	0.851922	0.148078	CS pos: 23-24. CLS-LL. Pr: 0.5559
ENST00000345356.10	SP(Sec/SPI)	0.996263	0.003737	CS pos: 23-24. IEA-EG. Pr: 0.6049
ENST00000345415.11	OTHER	0.002495	0.997505	
ENST00000346134.11	OTHER	0.001152	0.998848	
ENST00000346691.9	OTHER	0.003318	0.996682	
ENST00000346834.8	OTHER	0.001655	0.998345	
ENST00000347262.8	OTHER	0.000509	0.999491	
ENST00000348022.6	OTHER	0.000758	0.999242	
ENST00000348579.6	OTHER	0.001252	0.998748	
ENST00000348750.8	OTHER	0.000704	0.999296	
ENST00000349598.6	OTHER	0.001152	0.998848	
ENST00000350302.8	OTHER	0.001259	0.998741	
ENST00000350499.6	OTHER	0.000994	0.999006	
ENST00000351266.8	SP(Sec/SPI)	0.938031	0.061969	CS pos: 22-23. VYA-QR. Pr: 0.7616
ENST00000351578.12	OTHER	0.001379	0.998621	
ENST00000352591.9	SP(Sec/SPI)	0.973301	0.026699	CS pos: 34-35. TTA-QL. Pr: 0.9220
ENST00000352684.2	OTHER	0.000244	0.999756	
ENST00000353625.8	OTHER	0.000438	0.999562	
ENST00000354412.7	SP(Sec/SPI)	0.995668	0.004332	CS pos: 32-33. AAA-AA. Pr: 0.4632
ENST00000354841.4	OTHER	0.163130	0.836870	
ENST00000354900.7	SP(Sec/SPI)	0.812315	0.187685	CS pos: 41-42. ARA-IQ. Pr: 0.7356
ENST00000355190.7	OTHER	0.000525	0.999475	
ENST00000355209.9	OTHER	0.000975	0.999025	
ENST00000355499.9	OTHER	0.000084	0.999916	
ENST00000355673.8	OTHER	0.012391	0.987609	
ENST00000355854.8	OTHER	0.000341	0.999659	
ENST00000356087.8	OTHER	0.003316	0.996684	
ENST00000356311.10	OTHER	0.000994	0.999006	
ENST00000356392.9	OTHER	0.001963	0.998037	
ENST00000356654.8	OTHER	0.000830	0.999170	
ENST00000356786.10	OTHER	0.301302	0.698698	
ENST00000357277.8	OTHER	0.028832	0.971168	
ENST00000357460.7	OTHER	0.001376	0.998624	
ENST00000357485.8	OTHER	0.000695	0.999305	
ENST00000357552.8	OTHER	0.000362	0.999638	
ENST00000357635.10	OTHER	0.000964	0.999036	
ENST00000358683.8	OTHER	0.001480	0.998520	
ENST00000358707.7	OTHER	0.000438	0.999562	
ENST00000358777.10	SP(Sec/SPI)	0.888318	0.111682	CS pos: 32-33. SQA-AL. Pr: 0.8538
ENST00000359086.4	SP(Sec/SPI)	0.985961	0.014039	CS pos: 19-20. SHG-TG. Pr: 0.8818
ENST00000359139.7	OTHER	0.000505	0.999495	
ENST00000359205.9	OTHER	0.000200	0.999800	
ENST00000359370.10	OTHER	0.000930	0.999070	
ENST00000359470.6	OTHER	0.000897	0.999103	
ENST00000359787.5	OTHER	0.010108	0.989892	
ENST00000359902.2	OTHER	0.000556	0.999444	
ENST00000359979.8	OTHER	0.001225	0.998775	
ENST00000360000.8	OTHER	0.001354	0.998646	
ENST00000360141.8	SP(Sec/SPI)	0.998731	0.001269	CS pos: 17-18. CFA-LS. Pr: 0.8600
ENST00000360570.8	OTHER	0.000557	0.999443	
ENST00000360798.7	SP(Sec/SPI)	0.812315	0.187685	CS pos: 41-42. ARA-IQ. Pr: 0.7356
ENST00000360851.4	OTHER	0.003569	0.996431	
ENST00000360966.9	OTHER	0.001149	0.998851	
ENST00000360986.9	SP(Sec/SPI)	0.997552	0.002448	CS pos: 18-19. AAA-RP. Pr: 0.5173
ENST00000361042.8	OTHER	0.000911	0.999089	
ENST00000361140.8	OTHER	0.000084	0.999916	
ENST00000361229.8	OTHER	0.000531	0.999469	
ENST00000361507.5	OTHER	0.000612	0.999388	
ENST00000361521.9	OTHER	0.007716	0.992284	
ENST00000361600.9	OTHER	0.001307	0.998693	
ENST00000361778.7	OTHER	0.336823	0.663177	
ENST00000361831.9	OTHER	0.000200	0.999800	
ENST00000361948.8	OTHER	0.000317	0.999683	
ENST00000362089.10	SP(Sec/SPI)	0.804339	0.195661	CS pos: 21-22. TEA-QS. Pr: 0.7212
ENST00000366139.3	OTHER	0.000257	0.999743	
ENST00000366254.2	OTHER	0.017265	0.982735	
ENST00000366888.7	OTHER	0.000775	0.999225	
ENST00000366889.6	OTHER	0.000775	0.999225	
ENST00000367009.2	OTHER	0.002120	0.997880	
ENST00000367010.5	OTHER	0.040262	0.959738	
ENST00000367429.9	SP(Sec/SPI)	0.999329	0.000671	CS pos: 18-19. CVA-ED. Pr: 0.9464
ENST00000367723.8	OTHER	0.001898	0.998102	
ENST00000367972.8	SP(Sec/SPI)	0.953748	0.046252	CS pos: 35-36. SQA-AP. Pr: 0.6942
ENST00000368072.10	OTHER	0.000523	0.999477	
ENST00000368134.6	OTHER	0.000501	0.999499	
ENST00000368300.9	OTHER	0.000386	0.999614	
ENST00000368339.9	OTHER	0.005102	0.994898	
ENST00000368373.8	SP(Sec/SPI)	0.808913	0.191087	CS pos: 39-40. ASG-AR. Pr: 0.3496
ENST00000368619.3	OTHER	0.006998	0.993002	
ENST00000368620.2	OTHER	0.006998	0.993002	
ENST00000368916.1	OTHER	0.001099	0.998901	
ENST00000368918.8	OTHER	0.001099	0.998901	
ENST00000368923.8	OTHER	0.240286	0.759714	
ENST00000368924.9	OTHER	0.240286	0.759714	
ENST00000369031.4	OTHER	0.006352	0.993648	
ENST00000369037.9	OTHER	0.006352	0.993648	
ENST00000369070.5	OTHER	0.003912	0.996088	
ENST00000369076.8	OTHER	0.000991	0.999009	
ENST00000369081.3	OTHER	0.001046	0.998954	
ENST00000369931.3	OTHER	0.012076	0.987924	
ENST00000369975.6	OTHER	0.000438	0.999562	
ENST00000369977.8	OTHER	0.000438	0.999562	
ENST00000370012.1	OTHER	0.005145	0.994855	
ENST00000370695.8	SP(Sec/SPI)	0.708738	0.291262	CS pos: 42-43. AGA-SD. Pr: 0.5838
ENST00000370698.7	SP(Sec/SPI)	0.708738	0.291262	CS pos: 42-43. AGA-SD. Pr: 0.5838
ENST00000370701.6	OTHER	0.000099	0.999901	
ENST00000370818.8	SP(Sec/SPI)	0.998975	0.001025	CS pos: 24-25. GQA-QP. Pr: 0.9881
ENST00000371001.6	OTHER	0.000362	0.999638	
ENST00000371059.7	SP(Sec/SPI)	0.579042	0.420958	CS pos: 21-22. ITA-FN. Pr: 0.3906
ENST00000371060.7	SP(Sec/SPI)	0.579042	0.420958	CS pos: 21-22. ITA-FN. Pr: 0.3906
ENST00000371222.4	OTHER	0.000965	0.999035	
ENST00000371243.2	SP(Sec/SPI)	0.974409	0.025591	CS pos: 19-20. GHG-GF. Pr: 0.6717
ENST00000371253.7	SP(Sec/SPI)	0.974409	0.025591	CS pos: 19-20. GHG-GF. Pr: 0.6717
ENST00000372088.8	OTHER	0.001225	0.998775	
ENST00000372121.5	OTHER	0.052689	0.947311	
ENST00000372136.7	OTHER	0.000994	0.999006	
ENST00000372185.5	SP(Sec/SPI)	0.568876	0.431124	CS pos: 23-24. ANT-DV. Pr: 0.2237
ENST00000372187.9	OTHER	0.037382	0.962618	
ENST00000372685.8	OTHER	0.001354	0.998646	
ENST00000372742.1	OTHER	0.002326	0.997674	
ENST00000372980.4	OTHER	0.005251	0.994749	
ENST00000373674.4	SP(Sec/SPI)	0.991599	0.008401	CS pos: 27-28. VGA-LT. Pr: 0.8198
ENST00000373808.8	OTHER	0.001022	0.998978	
ENST00000373818.8	SP(Sec/SPI)	0.957261	0.042739	CS pos: 27-28. VRA-AT. Pr: 0.6772
ENST00000373824.9	OTHER	0.000819	0.999181	
ENST00000373921.8	OTHER	0.002703	0.997297	
ENST00000373925.5	OTHER	0.002703	0.997297	
ENST00000373927.7	OTHER	0.002703	0.997297	
ENST00000373960.4	OTHER	0.000284	0.999716	
ENST00000374201.8	OTHER	0.030487	0.969513	
ENST00000374343.5	OTHER	0.000625	0.999375	
ENST00000374426.6	SP(Sec/SPI)	0.998084	0.001916	CS pos: 21-22. SDG-KP. Pr: 0.8525
ENST00000374429.6	SP(Sec/SPI)	0.998084	0.001916	CS pos: 21-22. SDG-KP. Pr: 0.8525
ENST00000374574.2	SP(Sec/SPI)	0.980238	0.019762	CS pos: 26-27. AAA-SQ. Pr: 0.5717
ENST00000374580.10	SP(Sec/SPI)	0.980238	0.019762	CS pos: 26-27. AAA-SQ. Pr: 0.5717
ENST00000374611.9	OTHER	0.001936	0.998064	
ENST00000374675.7	SP(Sec/SPI)	0.666195	0.333805	CS pos: 27-28. VAG-LG. Pr: 0.2569
ENST00000374677.8	SP(Sec/SPI)	0.666195	0.333805	CS pos: 27-28. VAG-LG. Pr: 0.2569
ENST00000374876.4	OTHER	0.000740	0.999260	
ENST00000374877.7	OTHER	0.000740	0.999260	
ENST00000374881.3	OTHER	0.049409	0.950591	
ENST00000374882.8	OTHER	0.001333	0.998667	
ENST00000375023.3	SP(Sec/SPI)	0.998195	0.001805	CS pos: 23-24. VRP-RG. Pr: 0.6342
ENST00000375055.6	SP(Sec/SPI)	0.994816	0.005184	CS pos: 23-24. VGA-QN. Pr: 0.8421
ENST00000375069.7	SP(Sec/SPI)	0.994816	0.005184	CS pos: 23-24. VGA-QN. Pr: 0.8421
ENST00000375070.7	OTHER	0.002101	0.997899	
ENST00000375076.9	SP(Sec/SPI)	0.994816	0.005184	CS pos: 23-24. VGA-QN. Pr: 0.8421
ENST00000375244.7	SP(Sec/SPI)	0.990676	0.009324	CS pos: 23-24. ARA-GP. Pr: 0.9415
ENST00000375321.1	OTHER	0.000378	0.999622	
ENST00000375322.2	OTHER	0.000378	0.999622	
ENST00000375482.8	OTHER	0.003862	0.996138	
ENST00000375722.5	OTHER	0.003647	0.996353	
ENST00000375747.5	OTHER	0.000433	0.999567	
ENST00000375751.8	OTHER	0.000433	0.999567	
ENST00000375754.9	OTHER	0.000433	0.999567	
ENST00000375772.7	OTHER	0.003647	0.996353	
ENST00000375966.8	OTHER	0.003033	0.996967	
ENST00000376215.10	OTHER	0.004884	0.995116	
ENST00000376667.7	OTHER	0.000910	0.999090	
ENST00000376692.9	OTHER	0.000910	0.999090	
ENST00000376874.9	OTHER	0.000719	0.999281	
ENST00000376918.7	SP(Sec/SPI)	0.991357	0.008643	CS pos: 25-26. SRA-RG. Pr: 0.4643
ENST00000377022.8	OTHER	0.001018	0.998982	
ENST00000377184.7	OTHER	0.000460	0.999540	
ENST00000377284.5	OTHER	0.001505	0.998495	
ENST00000377727.2	OTHER	0.000522	0.999478	
ENST00000377842.7	OTHER	0.000685	0.999315	
ENST00000377855.6	OTHER	0.005743	0.994257	
ENST00000377934.4	SP(Sec/SPI)	0.933374	0.066626	CS pos: 31-32. SFS-LP. Pr: 0.2994
ENST00000377988.6	OTHER	0.009760	0.990240	
ENST00000377991.9	OTHER	0.009760	0.990240	
ENST00000378053.3	SP(Sec/SPI)	0.889224	0.110776	CS pos: 28-29. VMA-KS. Pr: 0.7441
ENST00000378424.9	OTHER	0.002667	0.997333	
ENST00000378427.6	OTHER	0.002667	0.997333	
ENST00000378525.2	OTHER	0.002001	0.997999	
ENST00000378529.7	OTHER	0.001820	0.998180	
ENST00000378531.8	OTHER	0.001820	0.998180	
ENST00000378600.7	OTHER	0.001391	0.998609	
ENST00000378601.7	OTHER	0.001391	0.998609	
ENST00000378611.8	OTHER	0.000668	0.999332	
ENST00000378617.4	OTHER	0.336823	0.663177	
ENST00000378643.8	OTHER	0.001199	0.998801	
ENST00000378733.9	SP(Sec/SPI)	0.792536	0.207464	CS pos: 20-21. VMA-IA. Pr: 0.2145
ENST00000378888.10	OTHER	0.000198	0.999802	
ENST00000378891.9	OTHER	0.000198	0.999802	
ENST00000378980.8	SP(Sec/SPI)	0.938031	0.061969	CS pos: 22-23. VYA-QR. Pr: 0.7616
ENST00000379143.10	OTHER	0.001452	0.998548	
ENST00000379160.3	OTHER	0.001452	0.998548	
ENST00000379221.4	OTHER	0.000809	0.999191	
ENST00000379374.5	OTHER	0.003092	0.996908	
